,<= 0,Lo 30,Med 40,Hi 30,Lo 20,Qnt 2,Qnt 3,Qnt 4,Hi 20,Lo 10,2-Dec,3-Dec,4-Dec,5-Dec,6-Dec,7-Dec,8-Dec,9-Dec,Hi 10
195205,-99.99,1.76,2.72,3.44,1.4,2.39,2.53,2.8,3.51,1,1.61,2.1,2.58,2.68,2.42,2.99,2.68,3.38,3.54
195206,-99.99,3.04,3.25,4.13,3.02,2.84,2.97,3.45,4.21,2.54,3.26,3.06,2.69,2.77,3.12,3.73,3.27,2.92,4.49
195207,-99.99,1.11,0.9,1.08,1.12,0.95,1.17,1.16,1.04,-0.04,1.7,1.1,0.85,0.93,1.34,0.62,1.5,1.11,1.02
195208,-99.99,0.42,0.24,-0.76,0.16,0.51,0.11,0.02,-0.82,-0.36,0.41,0.68,0.4,0.68,-0.27,0.33,-0.16,-0.19,-0.95
195209,-99.99,-1.37,-1.53,-1.93,-1.23,-1.64,-1.44,-1.59,-1.96,-0.66,-1.5,-1.5,-1.75,-0.35,-2.19,-1.57,-1.6,-1.6,-2.04
195210,-99.99,-1.19,-1.11,-0.43,-1.09,-1.71,-0.93,-0.91,-0.39,-0.44,-1.41,-1.29,-2,-1.38,-0.62,-1.03,-0.83,-1.49,-0.15
195211,-99.99,5.15,5.55,6.13,4.48,5.53,6.03,5.55,6.16,3.69,4.88,5.79,5.36,6.54,5.67,5.06,5.86,7.14,5.95
195212,-99.99,2.18,2.64,3.17,1.14,2.96,1.95,2.64,3.27,0.56,1.43,3.17,2.81,1.09,2.54,3.38,2.17,2.44,3.45
195301,-99.99,3.98,2.19,-0.59,4.16,3.58,2.42,1.39,-0.77,5.76,3.38,3.81,3.41,3.71,1.53,1.55,1.3,-0.06,-0.92
195302,-99.99,2.08,1.07,-0.35,3.32,1.31,1.08,0.75,-0.44,2.72,3.62,0.92,1.59,1.97,0.46,0.89,0.65,-0.08,-0.52
195303,-99.99,-1.7,-0.97,-1.3,-1.79,-1.77,-0.96,-1.06,-1.3,-1.44,-1.97,-1.6,-1.89,-1.74,-0.39,-0.69,-1.29,-0.44,-1.48
195304,-99.99,-2.07,-2.32,-2.74,-1.97,-1.84,-2.18,-2.36,-2.8,-2.14,-1.89,-2.17,-1.61,-2.61,-1.87,-2.7,-2.14,-2.49,-2.87
195305,-99.99,0.77,0.63,0.72,0.94,0.52,0.52,0.66,0.73,1.39,0.71,0.61,0.46,0.77,0.34,0.8,0.57,0.94,0.69
195306,-99.99,-4.02,-2.93,-1.5,-4.4,-3.56,-3.11,-2.96,-1.34,-4.33,-4.43,-3.68,-3.47,-3.13,-3.09,-2.55,-3.21,-2.4,-1.1
195307,-99.99,1.29,1.66,2.69,1.72,1.34,1.8,1.52,2.8,0.06,2.52,0.87,1.66,1.38,2.09,1.5,1.53,2.28,2.92
195308,-99.99,-5.98,-4.85,-4.25,-5.86,-5.5,-5.26,-4.68,-4.18,-4.98,-6.28,-6.09,-5.12,-5.14,-5.34,-4.29,-4.92,-3.59,-4.31
195309,-99.99,-2.27,-0.78,0.58,-2.57,-1.04,-1.02,-0.33,0.64,-4.16,-1.8,-1.98,-0.42,-1,-1.04,-0.63,-0.14,0.66,0.64
195310,-99.99,2.76,4.17,4.84,2.2,3.35,4.37,4.4,4.87,2.63,2.01,3.31,3.37,4.36,4.38,4.21,4.53,4.08,5.04
195311,-99.99,2.04,2.23,3,1.89,1.73,1.87,3,3,2.03,1.83,2.19,1.43,1.48,2.15,2.9,3.07,3.07,2.98
195312,-99.99,-2.54,-1.18,0.38,-2.69,-1.79,-1.02,-0.33,0.39,-2.91,-2.59,-2.4,-1.39,-0.82,-1.16,-1.29,0.27,0.31,0.4
195401,-99.99,7.56,6.51,5.04,7.78,6.75,7.03,5.92,4.97,8.73,7.33,7.35,6.35,6.77,7.2,5.99,5.88,5.57,4.84
195402,-99.99,0.98,1.78,1.73,0.23,1.54,1.94,2.09,1.68,-0.15,0.41,1.7,1.43,1.94,1.94,1.71,2.32,1.57,1.7
195403,-99.99,2.87,2.95,3.86,2.96,2.76,2.76,3.87,3.82,2.61,3.12,2.8,2.73,2.58,2.88,3.25,4.25,3.16,3.96
195404,-99.99,0.64,1.66,4.82,0.91,1.03,2.16,1.97,5.04,1.16,0.79,0.37,1.46,1.65,2.51,1.16,2.45,2.67,5.55
195405,-99.99,3.86,4.23,3.01,4.51,4.28,3.8,4.26,2.91,3.2,5.14,3.24,4.96,4.92,3.02,4.5,4.13,3.86,2.71
195406,-99.99,1.1,1.52,1.09,1.16,1.59,1.79,1.95,0.96,1.56,0.97,1.03,1.94,1.43,2.04,1.09,2.45,1.35,0.88
195407,-99.99,8.88,6.81,4.76,10.01,6.92,6.66,6.45,4.64,11.93,9.16,7.78,6.37,7.34,6.21,7.1,6.06,6.66,4.21
195408,-99.99,0.2,-1.33,-2.47,-0.23,0.45,-1.26,-1.73,-2.55,-0.37,-0.16,0.62,0.33,-1.25,-1.26,-1.9,-1.62,-2.64,-2.53
195409,-99.99,4.03,4.35,6.82,3.8,4.42,4.19,4.85,6.99,4.18,3.63,4.25,4.53,4.36,4.08,4.48,5.08,4.51,7.53
195410,-99.99,-0.39,-0.47,-1.77,-0.2,-1.02,-0.38,-0.42,-1.89,0.42,-0.48,-0.57,-1.31,-0.35,-0.4,-0.3,-0.48,-0.97,-2.08
195411,-99.99,8.46,9.36,9.48,8.14,8.82,10.08,9.64,9.41,5.97,9.14,8.77,8.84,9.88,10.21,8.72,10.19,9.38,9.42
195412,-99.99,10.82,7.82,5.2,11.88,9.82,8.92,5.85,5.14,12.87,11.43,9.77,9.86,9.29,8.66,5.94,5.79,6.94,4.76
195501,-99.99,2.16,1.61,0.51,3.52,0.85,2.31,0.51,0.54,3.92,3.33,0.79,0.89,1.61,2.8,1.03,0.2,0.82,0.48
195502,-99.99,5.38,4.51,2.84,5.79,3.96,4.93,3.64,2.81,4.28,6.47,4.95,3.33,5.14,4.78,4.4,3.19,3.46,2.67
195503,-99.99,-0.13,0.03,-0.08,-0.14,0.26,0.57,-0.92,0.01,0.2,-0.28,-0.12,0.51,-0.13,1.05,-0.76,-1.02,1.56,-0.33
195504,-99.99,2.51,1.94,3.44,2.07,1.82,1.88,2.29,3.55,3.15,1.6,2.97,1.07,1.47,2.16,2.27,2.3,2.1,3.88
195505,-99.99,0.49,0.63,1.19,0.73,0.19,0.49,1.28,1.16,1.71,0.29,0.24,0.15,0.59,0.42,0.94,1.48,0.94,1.21
195506,-99.99,3.81,3.04,7.28,3.85,2.98,2.58,4.37,7.52,4.8,3.42,3.76,2.46,3.17,2.17,3.77,4.73,4.34,8.21
195507,-99.99,1.62,0.52,2.19,1.45,0.84,0.14,0.31,2.4,2.61,0.92,1.78,0.23,0.04,0.21,1.06,-0.12,0.44,2.8
195508,-99.99,0.22,0.88,0.33,-0.16,0.14,1.04,0.84,0.29,0.06,-0.26,0.56,-0.13,0.99,1.07,1.03,0.73,0.71,0.21
195509,-99.99,-0.3,-1.02,-0.08,0.78,-1.21,-0.9,-1.45,0.06,0.25,1.02,-1.31,-1.14,-0.28,-1.32,-1.13,-1.65,-2.56,0.58
195510,-99.99,-1.36,-1.47,-2.61,-1.65,-1.13,-1.26,-1.97,-2.66,-1.96,-1.5,-1.09,-1.16,-0.92,-1.49,-1.81,-2.07,-1.97,-2.8
195511,-99.99,4.19,6,7.4,3.58,5.37,6.03,6.59,7.44,3.47,3.64,4.77,5.77,5.72,6.24,6.03,6.94,6.28,7.67
195512,-99.99,2.23,2.25,1.58,2.64,1.8,2.7,1.95,1.55,2.19,2.84,1.84,1.78,3.2,2.35,1.89,1.98,1.97,1.47
195601,-99.99,-1.05,-2.83,-2.84,-0.98,-1.8,-2.82,-3.1,-2.82,-1.46,-0.76,-1.12,-2.24,-2.33,-3.16,-3.02,-3.14,-2.54,-2.87
195602,-99.99,3.16,3.48,4.07,2.77,3.49,3.18,3.83,4.09,3.27,2.55,3.53,3.46,2.51,3.65,3.82,3.84,3.6,4.19
195603,-99.99,4.61,5.18,7.05,5.04,4.42,5.32,5.57,7.16,2.28,6.3,4.2,4.57,3.83,6.35,5.21,5.79,6.26,7.33
195604,-99.99,0.79,0.62,0.48,0.31,0.6,0.51,0.73,0.47,0.72,0.13,1.25,0.17,0.84,0.28,0.9,0.63,-0.56,0.66
195605,-99.99,-4.47,-3.91,-5.1,-3.78,-4.33,-3.44,-3.7,-5.26,-4.31,-3.54,-5.12,-3.81,-3.88,-3.15,-4.46,-3.23,-3.67,-5.56
195606,-99.99,1.38,2.78,3.82,0.48,1.85,3.24,2.65,3.92,0.46,0.48,2.24,1.59,2.22,3.92,2.63,2.66,3.59,3.99
195607,-99.99,3.6,4.23,5.17,2.67,3.56,4,4.52,5.24,1.63,3.14,4.45,2.95,3.61,4.27,4.85,4.33,5.13,5.27
195608,-99.99,-1.18,-1.86,-3.18,-0.93,-1.33,-1.51,-2.75,-3.19,-1.04,-0.88,-1.4,-1.29,-1.18,-1.74,-2.4,-2.97,-1.26,-3.56
195609,-99.99,-2.51,-3.49,-5.16,-2.34,-2.41,-3.52,-4.02,-5.25,-3.28,-1.92,-2.66,-2.24,-3.48,-3.54,-3.82,-4.15,-5.07,-5.29
195610,-99.99,0.7,1.02,0.75,0.33,0.64,0.77,0.81,0.78,0.04,0.45,1.04,0.35,0.94,0.66,1.5,0.39,1.5,0.64
195611,-99.99,0.35,0.97,0.52,0.32,1.03,0.88,0.7,0.52,0.39,0.29,0.38,1.49,0.84,0.9,0.92,0.55,1.46,0.34
195612,-99.99,1.86,2.86,3.51,1.17,3.16,2.29,2.96,3.58,0.68,1.38,2.48,3.63,2.29,2.29,3.26,2.76,2.85,3.72
195701,-99.99,2.03,-0.41,-3.8,2.34,0.98,-0.08,-1.01,-4.04,4.25,1.51,1.74,0.46,-0.3,0.08,-1.05,-0.99,-1.61,-4.52
195702,-99.99,-2.33,-2.34,-1.77,-2.06,-2.48,-2.72,-1.81,-1.77,-2.99,-1.65,-2.58,-2.42,-3.45,-2.22,-1.87,-1.77,-1.82,-1.75
195703,-99.99,1.67,2.66,2.33,1.63,1.98,2.45,2.52,2.34,0.78,2.01,1.7,2.18,2.85,2.19,3.04,2.2,2.41,2.32
195704,-99.99,2.29,2.3,4.85,2.63,2.55,2.08,2.99,4.98,3.4,2.3,1.98,2.94,1.97,2.15,2.36,3.38,3.14,5.35
195705,-99.99,1.32,2.4,3.93,0.36,2.04,2.49,2.23,4.09,0.83,0.15,2.22,1.92,2.14,2.73,2.45,2.1,3.74,4.16
195706,-99.99,0.43,-0.93,-0.5,1.04,-0.16,-1.17,-1.87,-0.33,1.96,0.63,-0.13,-0.17,-1.08,-1.23,-0.89,-2.47,-2.74,0.14
195707,-99.99,0.78,0.5,1.01,0.68,0.74,0.42,0.35,1.08,0.84,0.6,0.88,0.64,0.11,0.63,0.54,0.23,0.26,1.23
195708,-99.99,-4.29,-5.35,-4.8,-3.88,-4.79,-5.23,-5.91,-4.7,-4.6,-3.54,-4.69,-4.86,-5.21,-5.24,-5.62,-6.09,-4.88,-4.66
195709,-99.99,-4.68,-5.35,-5.79,-4.42,-5.06,-5.61,-5.03,-5.86,-5.93,-3.73,-4.93,-5.14,-6.3,-5.15,-5.11,-4.97,-4.93,-6.03
195710,-99.99,-7.5,-5.89,-3.73,-8.23,-6.96,-6.29,-4.91,-3.64,-9.37,-7.72,-6.8,-7.07,-7.17,-5.7,-5.11,-4.78,-4.11,-3.56
195711,-99.99,0.37,2.72,2.58,0.84,0.54,3.05,2.99,2.54,-0.33,1.36,-0.08,0.96,2.74,3.25,2.85,3.07,3.8,2.3
195712,-99.99,-4.94,-4.2,-3.59,-5.29,-4.98,-4.62,-3.28,-3.62,-4.46,-5.65,-4.61,-5.23,-5.24,-4.22,-3.45,-3.18,-2.62,-3.81
195801,-99.99,12.01,9.7,4.28,12.86,11.28,10.1,8.68,3.93,12.91,12.84,11.21,11.33,10.8,9.64,8.83,8.58,5.76,3.57
195802,-99.99,-1.08,-0.42,-1.56,-1.56,0.22,-0.45,-0.75,-1.63,-1.95,-1.39,-0.62,0.78,-1.27,0.08,-0.73,-0.76,-0.39,-1.87
195803,-99.99,3.8,3.77,3.3,3.64,3.23,3.7,3.69,3.29,3.27,3.8,3.95,2.75,3.95,3.55,4.13,3.41,3.05,3.34
195804,-99.99,3.72,2.45,3.27,3.5,3.5,2.05,3.22,3.24,5.14,2.78,3.92,3.22,2.19,1.96,2.68,3.56,3.83,3.12
195805,-99.99,3.94,4.05,2.17,4.07,3.99,4.76,2.72,2.16,6.38,3.04,3.82,4.1,5.2,4.48,3.27,2.38,3.29,1.93
195806,-99.99,3.38,2.87,2.99,3.13,2.87,2.72,2.95,3,3.64,2.9,3.6,2.38,3.18,2.41,3.18,2.8,3.13,2.98
195807,-99.99,5.51,5.63,4.3,5.78,5.08,6.52,4.82,4.25,5.38,5.98,5.26,4.96,7.07,6.16,4.87,4.8,4.89,4.12
195808,-99.99,3.27,3.08,1.79,3.48,3.03,3.52,2.84,1.68,4.55,2.98,3.07,3.01,3.72,3.39,2.62,2.96,1.64,1.69
195809,-99.99,5.48,5.41,4.77,6.06,5.99,4.9,4.73,4.83,6.67,5.76,4.94,6.71,5.16,4.72,5.61,4.2,4.34,4.93
195810,-99.99,3.22,3.44,2.62,2.73,4.24,3.51,3.21,2.56,2.37,2.9,3.68,4.61,2.69,4.05,3.02,3.33,3.08,2.45
195811,-99.99,5.58,3.73,3,4.97,5.41,3.32,4.56,2.82,2.3,6.24,6.15,4.93,3.79,3.02,3.83,4.99,3.69,2.64
195812,-99.99,3.28,3.99,5.58,3.4,4.05,3.24,4.06,5.75,3.6,3.31,3.18,4.64,2.81,3.52,4.61,3.73,4.35,6.04
195901,-99.99,6.65,3.49,0.49,7.8,5.05,4,2.17,0.36,8.22,7.6,5.57,4.71,4.48,3.69,2.57,1.94,1.03,0.22
195902,-99.99,3.53,3.3,0.83,3.43,3.16,3.5,3.02,0.64,3.54,3.38,3.62,2.86,3.17,3.7,3.23,2.9,1.82,0.39
195903,-99.99,2.48,1.37,0.4,1.51,2.35,0.89,0.87,0.41,0.24,2.12,3.37,1.66,0.75,0.98,1.82,0.29,0.85,0.31
195904,-99.99,1.97,3.76,3.94,2.23,3.08,3.74,3.41,4.01,1.44,2.61,1.73,4.02,3.13,4.14,3.7,3.22,2.79,4.27
195905,-99.99,0.34,1.18,2.14,2.15,-0.47,1.08,0.99,2.28,0.05,3.14,-1.29,0.09,1.06,1.08,1.62,0.6,-0.35,2.84
195906,-99.99,0.31,1.54,-0.16,0.54,0.68,1.45,1.12,-0.23,-1.4,1.42,0.1,1.06,1.85,1.19,1.78,0.71,0.81,-0.45
195907,-99.99,2.95,3.07,3.47,2.62,3.45,3.34,2.49,3.57,3.88,2.04,3.27,3.57,2.26,4.08,2.64,2.39,3.53,3.58
195908,-99.99,-1.02,-1.36,-1.18,-0.5,-1.79,-0.91,-1.85,-1.11,-1.64,0.04,-1.5,-1.98,-1.99,-0.18,-1.66,-1.98,-1.94,-0.93
195909,-99.99,-4.36,-4.7,-4.47,-4.47,-4.18,-4.33,-4.86,-4.46,-3.73,-4.81,-4.25,-4.14,-4.74,-4.06,-5.26,-4.61,-5.08,-4.33
195910,-99.99,1.74,2.2,1.47,1.73,2.44,2.73,3.13,1.23,-0.1,2.59,1.75,2.91,2.46,2.91,1.39,4.21,2.55,0.96
195911,-99.99,0.7,1.78,1.88,0.53,2.2,1.15,2.62,1.78,0.26,0.66,0.85,3.11,1.65,0.81,2.07,2.95,1.3,1.87
195912,-99.99,2.96,2.04,2.91,2.87,2.63,2.2,1.07,3.12,1.46,3.49,3.05,2.36,2.57,1.96,1.76,0.65,1.79,3.4
196001,-99.99,-2.45,-4.96,-6.94,-1.55,-4.02,-4.9,-5.15,-7.1,0.09,-2.27,-3.26,-4.53,-3.77,-5.66,-5.16,-5.14,-4.85,-7.55
196002,-99.99,1.06,1.03,1.5,0.4,1.63,0.45,1.9,1.44,-1.3,1.15,1.67,1.6,1,0.08,1.5,2.15,1.43,1.45
196003,-99.99,-2.91,-2.47,-1.11,-2.8,-2.91,-2.66,-2.08,-1.02,-1.23,-3.48,-3,-2.84,-2.56,-2.74,-2.14,-2.05,-0.77,-1.07
196004,-99.99,-2.16,-1.83,-1.52,-2.21,-1.89,-2.33,-1.14,-1.56,-3.36,-1.71,-2.12,-1.74,-2.46,-2.24,-1.31,-1.03,0.05,-1.89
196005,-99.99,1.95,2.81,3.29,0.6,3.34,3.05,2.25,3.39,0.67,0.56,3.21,3.43,2.56,3.39,2.36,2.19,3.4,3.39
196006,-99.99,2.03,2.44,2.34,2.26,1.99,2.6,2.58,2.31,3.37,1.77,1.83,2.09,2.13,2.92,2.37,2.7,2.64,2.24
196007,-99.99,-1.98,-2.12,-2.25,-1.51,-2.01,-1.72,-1.66,-2.36,-1.38,-1.57,-2.41,-1.74,-1.94,-1.58,-2.67,-1.04,-2.17,-2.4
196008,-99.99,3.79,3.71,3.1,5.28,3.62,3.96,3.12,3.1,5.35,5.24,2.45,4.4,3.59,4.22,3.23,3.06,3.41,3.04
196009,-99.99,-5.97,-6.06,-5.79,-5.96,-6.4,-5.9,-5.5,-5.85,-6.14,-5.89,-5.98,-6.68,-6.05,-5.8,-6.06,-5.16,-5.76,-5.87
196010,-99.99,-3.13,-2.32,-0.2,-2.66,-2.5,-2.78,-1.56,-0.1,-3.18,-2.43,-3.58,-1.8,-3.95,-1.98,-1.97,-1.31,-1.01,0.09
196011,-99.99,3.36,5.31,4.79,1.56,4.33,5.92,5.9,4.65,2,1.37,5.07,3.87,5.98,5.88,5.09,6.39,6.47,4.27
196012,-99.99,3.59,3.82,5.01,2.56,3.24,3.53,4.85,5.01,2.32,2.66,4.53,2.41,3.52,3.54,4.55,5.03,5.01,5.01
196101,-99.99,8.67,8.43,6.14,8.54,8.38,8.47,8.12,5.98,8.86,8.41,8.78,8.11,7.97,8.81,8.47,7.91,6.12,5.95
196102,-99.99,7.12,6.46,3.29,6.35,7.51,6.27,5.57,3.12,6.15,6.43,7.81,7.31,7.01,5.77,6.43,5.06,5.01,2.73
196103,-99.99,7.25,5.13,2.71,7.13,6.07,4.88,4.84,2.54,5.99,7.61,7.35,5.2,4.86,4.9,5.38,4.5,2.37,2.58
196104,-99.99,1.99,0.65,0.38,1.32,2.47,-0.06,0.21,0.44,3.6,0.36,2.59,2.4,-0.6,0.3,0.9,-0.22,-0.04,0.54
196105,-99.99,4.22,3.87,2.4,4.01,4.1,4.89,3.5,2.26,4.65,3.73,4.41,3.89,5.55,4.45,2.79,3.94,3.06,2.09
196106,-99.99,-5.1,-4.11,-2.61,-5.49,-4.87,-4.62,-3.37,-2.53,-5.33,-5.57,-4.75,-4.95,-5.25,-4.2,-3.3,-3.41,-2.96,-2.44
196107,-99.99,0.41,1.04,3.32,0.19,0.64,1.28,1.78,3.41,-0.74,0.61,0.61,0.66,1.72,0.98,0.89,2.32,2.66,3.58
196108,-99.99,0.82,1.8,2.83,0.88,1.45,1,3.82,2.67,1.3,0.69,0.77,1.91,0.14,1.59,2.68,4.5,3.84,2.42
196109,-99.99,-3.6,-2.66,-1.85,-3.62,-3.55,-2.5,-2.64,-1.77,-3.73,-3.58,-3.58,-3.53,-3.73,-1.67,-2.56,-2.69,-2.45,-1.62
196110,-99.99,1.82,2.13,2.86,2.19,1.42,2.07,2.82,2.84,2.04,2.26,1.5,1.37,1.25,2.62,2.42,3.04,3.05,2.79
196111,-99.99,5.8,4.85,4.6,5.41,5.86,4.82,3.92,4.71,4.28,5.92,6.16,5.66,4.92,4.76,4.64,3.5,3.95,4.87
196112,-99.99,-0.25,-0.67,0.1,0.4,-0.56,-0.33,-1.6,0.28,-0.46,0.78,-0.84,-0.38,-0.09,-0.48,-1.15,-1.86,-1.18,0.59
196201,-99.99,1.39,-1.91,-3.9,1.85,-0.1,-2.24,-2.37,-4.01,3.83,0.99,0.97,-0.8,-0.98,-3.07,-1.88,-2.65,-1.77,-4.48
196202,-99.99,1.49,1.63,2.06,1.66,1.32,1.34,1.59,2.13,2.6,1.24,1.33,1.31,0.6,1.86,2.06,1.32,1.12,2.34
196203,-99.99,-0.27,-0.86,-0.46,0.57,-0.76,-0.5,-1.21,-0.4,-1.1,1.32,-1.05,-0.56,-1.48,0.18,-1.34,-1.14,-0.03,-0.47
196204,-99.99,-7.12,-6.43,-6.33,-7.28,-7.16,-5.98,-6.68,-6.3,-7.18,-7.33,-6.98,-7.28,-7.03,-5.26,-6.66,-6.7,-6.8,-6.2
196205,-99.99,-9.99,-10.01,-8.1,-10.03,-9.95,-10.82,-9.44,-7.96,-11.27,-9.46,-9.96,-9.93,-10.06,-11.32,-9.15,-9.61,-8.3,-7.89
196206,-99.99,-8.27,-7.88,-8.3,-7.43,-7.65,-7.62,-8.96,-8.21,-8.32,-7.03,-9.04,-6.72,-8.22,-7.23,-8.52,-9.23,-7.15,-8.44
196207,-99.99,7.5,5.93,6.6,7.36,7.16,5.67,5.8,6.68,7.65,7.23,7.62,6.84,6.56,5.06,5.95,5.72,6.05,6.81
196208,-99.99,3.29,3.06,2.21,2.74,3.28,2.71,2.65,2.22,3.15,2.55,3.8,2.93,3.65,2.05,3.48,2.15,2.8,2.09
196209,-99.99,-7.02,-6.02,-4.77,-7.07,-7.22,-6.44,-5.21,-4.72,-5.97,-7.58,-6.98,-7.39,-7.14,-5.95,-5.14,-5.25,-5.75,-4.51
196210,-99.99,-3.35,-2.07,0.79,-4.23,-3.27,-1.96,-1.23,0.94,-3.97,-4.35,-2.53,-3.78,-3,-1.23,-1.68,-0.96,-0.63,1.27
196211,-99.99,14.68,13.44,10.8,14.4,14.63,13.52,13.1,10.6,13.38,14.89,14.95,14.41,13.88,13.28,13.06,13.13,13.01,10.11
196212,-99.99,-2.04,-0.92,1.74,-2.22,-2.3,-1.28,0.66,1.8,-1.27,-2.67,-1.88,-2.6,-2.39,-0.52,-0.03,1.08,1.35,1.89
196301,-99.99,10.17,6.84,4.78,11.08,8.57,7.02,5.95,4.7,10.94,11.14,9.36,8.02,8.34,6.11,6.32,5.72,5.05,4.63
196302,-99.99,-0.77,-1.71,-2.27,0.04,-1.78,-1.41,-1.68,-2.34,-0.33,0.22,-1.51,-1.98,-1.15,-1.59,-1.95,-1.52,-1.66,-2.48
196303,-99.99,1.94,1.65,3.67,1.56,1.87,1.63,2.48,3.73,1.96,1.37,2.28,1.57,1.9,1.43,1.69,2.94,3.14,3.86
196304,-99.99,4.24,3.83,4.9,2.92,4.06,3.78,4.58,4.9,2.9,2.92,5.44,3.06,3.7,3.83,4.1,4.87,4.54,4.98
196305,-99.99,4.25,3.16,1.87,5.06,3.41,3.7,2.16,1.86,6.48,4.39,3.55,3.3,3.76,3.67,2.54,1.94,3.06,1.61
196306,-99.99,-1.38,-1.84,-1.82,-1.37,-1.81,-1.51,-1.73,-1.84,-2.05,-1.04,-1.39,-2.12,-1.78,-1.32,-2.13,-1.49,-1.16,-1.99
196307,-99.99,-0.84,-1.37,0.06,-0.33,-1.26,-1.7,-1.42,0.22,-0.24,-0.43,-1.72,-0.89,-1.2,-2.07,-1.17,-1.56,-0.32,0.33
196308,-99.99,3.62,5.39,5.39,2.96,5,5.28,5.74,5.35,2.55,3.39,4.78,5.18,6.35,4.49,5.59,5.82,5.93,5.23
196309,-99.99,-1.27,-2.1,-1.18,-1,-1.83,-1.67,-2.17,-1.11,-0.2,-1.85,-1.75,-1.88,-1.9,-1.5,-2.67,-1.88,-2.08,-0.91
196310,-99.99,1.33,1.59,3.06,0.5,2.78,1.3,1.27,3.24,0.69,0.29,2.77,2.79,1,1.52,1.5,1.14,1.8,3.54
196311,-99.99,-1.5,-1.01,-0.48,-2.03,-1.26,-1.48,-0.28,-0.5,-2,-2.05,-0.6,-1.79,-1.22,-1.67,-0.18,-0.34,-0.21,-0.55
196312,-99.99,-1,1.37,2.34,-1.62,0.22,1.2,1.46,2.44,-2.31,-0.88,0.07,0.34,2.15,0.48,1.94,1.18,1.79,2.57
196401,-99.99,3.54,1.31,2.73,4.1,1.58,1.8,1.22,2.85,4.76,3.4,2.6,0.77,2.45,1.31,0.96,1.37,1.16,3.19
196402,-99.99,2.6,2.71,1.69,2.5,3.05,2.25,3.05,1.57,2.71,2.28,2.76,3.29,2.29,2.22,3.02,3.07,2.03,1.47
196403,-99.99,2.97,3.29,1.5,2.38,3.67,3.63,2.99,1.36,2.34,2.41,3.97,3.43,4.1,3.27,2.85,3.06,1.83,1.26
196404,-99.99,-0.48,-0.27,0.53,-0.36,-0.54,-0.72,-0.5,0.67,0.03,-0.78,-0.68,-0.42,-1.02,-0.49,0.28,-0.95,-0.52,0.91
196405,-99.99,1.02,1.74,1.68,0.49,2.35,1.14,2.12,1.64,0.77,0.19,1.89,2.73,1.38,0.95,2.04,2.17,0.99,1.76
196406,-99.99,1.15,1.49,1.56,1.16,1.21,1.47,1.41,1.59,1.25,1.07,1.13,1.28,0.95,1.87,1.58,1.31,1.45,1.61
196407,-99.99,3.32,2.19,1.98,3.13,2.61,2.5,2,1.98,3.76,2.37,3.65,1.8,1.81,2.98,1.99,2,3.45,1.69
196408,-99.99,-0.63,-0.85,-1.19,-0.64,-1.24,-0.85,-0.09,-1.31,-0.43,-0.9,-0.62,-1.74,-0.67,-0.98,-0.52,0.15,-1.32,-1.3
196409,-99.99,3.94,3.25,2.91,4.51,2.99,2.94,3.77,2.83,5.09,3.8,2.94,3.02,2.84,3,3.69,3.82,3.19,2.75
196410,-99.99,1.85,1.67,0.72,2.29,1.2,2.17,1.58,0.63,2.68,1.8,1.07,1.31,1.49,2.64,1.22,1.78,0.76,0.6
196411,-99.99,0.33,0.04,0.31,0.17,-0.61,0.54,0.14,0.32,0.09,0.26,0.61,-1.58,0.15,0.81,0.04,0.19,0.26,0.33
196412,-99.99,-1.59,-0.35,0.48,-1.94,-0.35,-0.47,-0.36,0.56,-1.71,-2.22,-0.97,0.15,-0.24,-0.62,-0.39,-0.34,-0.23,0.71
196501,-99.99,7.14,5.58,3.55,7.55,6.35,5.67,5.5,3.37,8.44,6.44,6.43,6.29,5.46,5.8,5.23,5.65,4.62,3.12
196502,-99.99,3.21,3.4,0.3,2.94,3.95,3.73,2.79,0.08,3.22,2.6,3.69,4.15,4.6,3.16,2.74,2.82,2.59,-0.43
196503,-99.99,1.9,0.17,-1.27,2.34,0.29,0.51,-0.07,-1.38,2.29,2.41,1.11,-0.36,0.69,0.39,-0.04,-0.09,-0.58,-1.55
196504,-99.99,4.3,4.03,3.27,4.73,4.25,4.02,3.51,3.26,5.15,4.19,3.53,4.84,4.8,3.5,3.75,3.37,2.76,3.36
196505,-99.99,-0.93,-0.54,-0.35,-0.77,-0.78,-0.4,-0.83,-0.3,-0.13,-1.59,-1.23,-0.41,-0.55,-0.3,-0.75,-0.87,-0.42,-0.27
196506,-99.99,-9.39,-8.13,-4.54,-9.81,-8.84,-8.08,-7.51,-4.29,-9.73,-9.92,-8.63,-9.01,-8.18,-8.01,-7.86,-7.31,-5.84,-3.96
196507,-99.99,3.13,3.14,1.5,2.96,3.5,3.39,3.25,1.32,2.63,3.42,3.47,3.53,3.21,3.52,2.74,3.56,2.33,1.11
196508,-99.99,4.21,5.14,2.78,4.22,4.75,6.08,4.21,2.65,4.1,4.38,4.21,5.15,7.41,5.16,4.08,4.29,3.47,2.48
196509,-99.99,2.67,3.42,3.18,2.64,3.95,3.42,3.05,3.19,3.03,2.09,2.73,4.85,3.53,3.34,2.94,3.12,2.85,3.26
196510,-99.99,6.84,4.72,2.56,7.44,5.82,5.24,3.89,2.42,8.1,6.52,5.64,5.95,5.79,4.84,3.7,4.01,3.62,2.17
